2026-01-05 15:00,High,USD,ISM Manufacturing PMI
2026-01-07 13:15,High,USD,ADP Non-Farm Employment Change
2026-01-07 15:00,High,USD,ISM Services PMI
2026-01-07 15:00,High,USD,JOLTS Job Openings
2026-01-08 13:30,High,USD,Unemployment Claims
2026-01-09 13:30,High,USD,Average Hourly Earnings m/m
2026-01-09 13:30,High,USD,Non-Farm Employment Change
2026-01-09 13:30,High,USD,Unemployment Rate
2026-01-09 15:00,High,USD,Prelim UoM Consumer Sentiment
2026-01-09 15:00,High,USD,Prelim UoM Inflation Expectations
